"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2005/05/01","00:00","2.753","2.126","1.598","0.952","0.925","0.253","0.066","-0.357","0"
"2005/06/01","00:00","2.671","2.11","1.523","0.896","0.87","0.217","0.003","-0.377","0"
"2005/07/01","00:00","2.835","2.097","1.493","0.827","0.799","0.105","-0.092","-0.41","0"
"2005/08/01","00:00","2.572","2.09","1.549","0.909","0.878","0.207","0.056","-0.341","0"
"2005/09/01","00:00","2.635","2.166","1.746","1.119","1.094","0.443","0.341","0.079","0"
"2005/10/01","00:00","2.28","1.857","1.539","0.889","0.907","0.276","0.128","-0.121","0"
"2005/11/01","00:00","2.3","1.857","1.477","0.843","0.861","0.246","0.059","-0.197","0"
"2005/12/01","00:00","2.73","2.149","1.526","0.942","0.898","0.269","0.099","-0.154","0"
"2006/01/01","00:00","2.773","2.267","1.637","1.034","0.988","0.338","0.151","-0.174","0"
"2006/02/01","00:00","2.431","1.972","1.509","0.847","0.834","0.158","0.007","-0.233","0"
"2006/03/01","00:00","2.248","1.939","1.559","0.935","0.919","0.279","0.177","-0.144","0"
"2006/04/01","00:00","2.448","1.969","1.477","0.87","0.847","0.217","0.063","-0.367","0"
"2006/05/01","00:00","2.474","1.9","1.303","0.738","0.691","0.079","-0.095","-0.328","0"
"2006/06/01","00:00","2.51","2.1","1.483","0.922","0.884","0.286","0.079","-0.157","0"
"2006/07/01","00:00","2.795","2.264","1.736","1.132","1.112","0.489","0.279","-0.019","0"
"2006/08/01","00:00","2.982","2.441","1.979","1.306","1.286","0.594","0.404","0.131","0"
"2006/09/01","00:00","2.677","2.254","1.824","1.126","1.119","0.414","0.322","-0.016","0"
"2006/10/01","00:00","2.838","2.32","1.798","1.171","1.15","0.502","0.371","0.089","0"
"2006/11/01","00:00","2.802","2.353","1.805","1.211","1.178","0.551","0.335","-0.006","0"
"2006/12/01","00:00","2.904","2.156","1.526","0.912","0.878","0.23","-0.019","-0.289","0"
"2007/01/01","00:00","2.74","2.172","1.565","0.896","0.865","0.164","-0.042","-0.43","0"
"2007/02/01","00:00","2.602","1.851","1.385","0.748","0.735","0.086","-0.046","-0.298","0"
"2007/03/01","00:00","2.221","1.893","1.519","0.86","0.848","0.177","0.079","-0.275","0"
"2007/04/01","00:00","2.389","1.755","1.355","0.686","0.684","0.013","-0.144","-0.469","0"
"2007/05/01","00:00","2.543","1.926","1.342","0.758","0.727","0.112","-0.072","-0.42","0"
"2007/06/01","00:00","2.799","2.021","1.395","0.824","0.783","0.171","-0.026","-0.226","0"
"2007/07/01","00:00","2.635","2.162","1.585","0.975","0.94","0.295","0.115","-0.161","0"
"2007/08/01","00:00","2.605","2.182","1.798","1.112","1.106","0.414","0.312","0.02","0"
"2007/09/01","00:00","2.336","1.975","1.578","0.935","0.924","0.269","0.151","-0.269","0"
"2007/10/01","00:00","2.579","1.919","1.457","0.847","0.829","0.2","0.059","-0.111","0"
"2007/11/01","00:00","2.976","2.221","1.664","1.06","1.027","0.387","0.2","-0.147","0"
"2007/12/01","00:00","2.864","2.238","1.637","1.024","0.991","0.345","0.099","-0.308","0"
"2008/01/01","00:00","2.494","1.906","1.398","0.784","0.755","0.112","-0.052","-0.416","0"
"2008/02/01","00:00","2.369","1.926","1.516","0.827","0.827","0.138","0.017","-0.138","0"
"2008/03/01","00:00","2.133","1.798","1.395","0.761","0.761","0.128","0.033","-0.285","0"
"2008/04/01","00:00","2.3","1.772","1.299","0.699","0.678","0.056","-0.098","-0.331","0"
"2008/05/01","00:00","2.392","1.962","1.411","0.824","0.789","0.168","-0.056","-0.354","0"
"2008/06/01","00:00","2.855","2.221","1.598","0.971","0.935","0.273","0.04","-0.295","0"
"2008/07/01","00:00","3.012","2.356","1.732","1.073","1.042","0.351","0.122","-0.226","0"
"2008/08/01","00:00","2.976","2.376","1.919","1.204","1.191","0.463","0.315","0.069","0"
"2008/09/01","00:00","2.369","2.149","1.778","1.103","1.099","0.42","0.305","0.069","0"
"2008/10/01","00:00","2.415","2.021","1.552","0.965","0.937","0.322","0.177","-0.056","0"
"2008/11/01","00:00","2.845","2.159","1.578","0.932","0.904","0.23","0.036","-0.203","0"
"2008/12/01","00:00","3.005","2.126","1.49","0.893","0.855","0.22","-0.013","-0.252","0"
"2009/01/01","00:00","2.638","1.877","1.365","0.752","0.724","0.082","-0.124","-0.525","0"
"2009/02/01","00:00","2.444","1.696","1.313","0.633","0.638","-0.036","-0.157","-0.42","0"
"2009/03/01","00:00","2.077","1.614","1.286","0.653","0.648","0.01","-0.102","-0.374","0"
"2009/04/01","00:00","2.143","1.654","1.142","0.587","0.55","-0.042","-0.2","-0.476","0"
"2009/05/01","00:00","2.277","1.69","1.148","0.545","0.517","-0.115","-0.318","-0.613","0"
"2009/06/01","00:00","2.441","1.831","1.267","0.66","0.63","-0.006","-0.252","-0.535","0"
"2009/07/01","00:00","2.713","2.011","1.48","0.873","0.845","0.21","0.017","-0.243","0"
"2009/08/01","00:00","2.75","2.146","1.68","1.04","1.021","0.361","0.24","-0.013","0"
"2009/09/01","00:00","2.3","1.979","1.657","1.017","1.016","0.374","0.302","0.148","0"
"2009/10/01","00:00","2.267","1.89","1.513","0.925","0.906","0.299","0.148","-0.161","0"
"2009/11/01","00:00","2.28","1.808","1.29","0.742","0.704","0.118","-0.092","-0.367","0"
"2009/12/01","00:00","2.704","1.939","1.336","0.752","0.709","0.082","-0.098","-0.472","0"
"2010/01/01","00:00","2.458","1.86","1.391","0.706","0.689","-0.013","-0.167","-0.502","0"
"2010/02/01","00:00","2.041","1.575","1.165","0.548","0.535","-0.095","-0.22","-0.495","0"
"2010/03/01","00:00","1.926","1.582","1.231","0.581","0.578","-0.075","-0.19","-0.492","0"
"2010/04/01","00:00","2.044","1.641","1.162","0.551","0.523","-0.115","-0.285","-0.623","0"
"2010/05/01","00:00","2.297","1.811","1.237","0.66","0.62","0.003","-0.19","-0.512","0"
"2010/06/01","00:00","2.382","1.926","1.358","0.784","0.745","0.131","-0.075","-0.325","0"
"2010/07/01","00:00","2.795","2.189","1.683","1.053","1.04","0.397","0.184","-0.115","0"
"2010/08/01","00:00","2.717","2.166","1.729","1.047","1.032","0.335","0.148","-0.121","0"
"2010/09/01","00:00","2.69","2.238","1.815","1.119","1.112","0.41","0.263","-0.069","0"
"2010/10/01","00:00","2.628","2.211","1.742","1.07","1.053","0.364","0.213","-0.042","0"
"2010/11/01","00:00","2.694","2.136","1.611","0.942","0.924","0.236","0.026","-0.302","0"
"2010/12/01","00:00","2.805","2.254","1.644","1.011","0.984","0.325","0.086","-0.275","0"
"2011/01/01","00:00","2.569","2.054","1.575","0.896","0.888","0.2","0.04","-0.334","0"
"2011/02/01","00:00","2.238","1.749","1.391","0.745","0.733","0.076","-0.036","-0.259","0"
"2011/03/01","00:00","1.923","1.618","1.263","0.663","0.655","0.046","-0.062","-0.407","0"
"2011/04/01","00:00","2.474","1.795","1.408","0.82","0.806","0.204","0.043","-0.131","0"
"2011/05/01","00:00","2.484","1.864","1.332","0.755","0.73","0.128","-0.079","-0.397","0"
"2011/06/01","00:00","2.464","2.002","1.424","0.82","0.789","0.154","-0.075","-0.348","0"
"2011/07/01","00:00","2.638","2.198","1.654","1.001","0.973","0.292","0.118","-0.065","0"
"2011/08/01","00:00","2.458","2.103","1.7","1.007","0.998","0.295","0.138","0.013","0"
"2011/09/01","00:00","2.369","1.985","1.631","0.925","0.927","0.223","0.086","-0.292","0"
"2011/10/01","00:00","2.677","2.031","1.585","0.899","0.888","0.19","0.049","-0.387","0"
"2011/11/01","00:00","2.444","1.962","1.431","0.811","0.784","0.138","-0.052","-0.449","0"
"2011/12/01","00:00","2.267","1.713","1.178","0.62","0.594","0.01","-0.226","-0.561","0"
"2012/01/01","00:00","2.152","1.713","1.237","0.647","0.63","0.023","-0.177","-0.403","0"
"2012/02/01","00:00","2.136","1.726","1.362","0.729","0.727","0.092","-0.039","-0.348","0"
"2012/03/01","00:00","2.139","1.765","1.408","0.811","0.801","0.194","0.099","-0.229","0"
"2012/04/01","00:00","2.152","1.854","1.447","0.83","0.809","0.171","0.026","-0.371","0"
"2012/05/01","00:00","2.467","1.89","1.418","0.788","0.774","0.128","-0.069","-0.407","0"
"2012/06/01","00:00","2.451","1.923","1.372","0.781","0.756","0.141","-0.088","-0.489","0"
"2012/07/01","00:00","2.444","1.883","1.345","0.771","0.743","0.141","-0.072","-0.282","0"
"2012/08/01","00:00","2.297","1.762","1.378","0.771","0.756","0.135","0.01","-0.174","0"
"2012/09/01","00:00","2.1","1.837","1.565","0.965","0.952","0.338","0.24","-0.029","0"
"2012/10/01","00:00","2.444","1.916","1.523","0.942","0.932","0.341","0.194","-0.124","0"
"2012/11/01","00:00","2.631","2.1","1.631","1.057","1.025","0.42","0.23","-0.213","0"
"2012/12/01","00:00","2.664","2.152","1.605","1.004","0.98","0.355","0.148","-0.249","0"
"2013/01/01","00:00","2.658","1.897","1.401","0.811","0.791","0.181","-0.029","-0.292","0"
"2013/02/01","00:00","2.303","1.752","1.388","0.768","0.758","0.128","-0.023","-0.348","0"
"2013/03/01","00:00","2.067","1.746","1.385","0.788","0.776","0.168","0.056","-0.157","0"
"2013/04/01","00:00","2.077","1.588","1.178","0.568","0.558","-0.062","-0.197","-0.558","0"
"2013/05/01","00:00","2.543","1.88","1.411","0.774","0.756","0.102","-0.085","-0.308","0"
"2013/06/01","00:00","2.645","2.041","1.565","0.932","0.914","0.263","0.046","-0.249","0"
"2013/07/01","00:00","2.628","2.054","1.585","0.929","0.916","0.25","0.033","-0.331","0"
"2013/08/01","00:00","2.405","1.998","1.578","0.961","0.955","0.332","0.181","0.043","0"
"2013/09/01","00:00","2.415","2.041","1.71","1.109","1.101","0.492","0.397","0.184","0"
"2013/10/01","00:00","2.428","2.103","1.769","1.142","1.135","0.502","0.368","0.161","0"
"2013/11/01","00:00","2.454","2.018","1.565","0.981","0.965","0.364","0.171","-0.023","0"
"2013/12/01","00:00","2.53","1.956","1.431","0.843","0.82","0.21","-0.023","-0.351","0"
"2014/01/01","00:00","2.618","1.956","1.44","0.84","0.815","0.19","-0.019","-0.367","0"
"2014/02/01","00:00","2.195","1.713","1.368","0.781","0.774","0.181","0.043","-0.213","0"
"2014/03/01","00:00","1.952","1.68","1.375","0.761","0.756","0.138","0.026","-0.187","0"
"2014/04/01","00:00","2.129","1.719","1.336","0.712","0.697","0.059","-0.079","-0.328","0"
"2014/05/01","00:00","2.136","1.696","1.188","0.643","0.609","0.03","-0.154","-0.321","0"
"2014/06/01","00:00","2.753","2.169","1.67","1.057","1.035","0.4","0.207","-0.01","0"
"2014/07/01","00:00","2.586","2.008","1.565","0.978","0.971","0.377","0.181","-0.102","0"
"2014/08/01","00:00","2.638","2.087","1.729","1.126","1.114","0.499","0.371","0.026","0"
"2014/09/01","00:00","2.838","2.339","2.008","1.349","1.339","0.669","0.561","0.348","0"
"2014/10/01","00:00","2.599","2.3","1.9","1.224","1.206","0.512","0.391","0.125","0"
