"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2005/05/01","00:00","6.398","5.289","4.57","2.766","2.83","1.089","-0.259","-1.526","0"
"2005/06/01","00:00","6.608","5.404","4.482","2.697","2.746","1.01","-0.315","-1.9","0"
"2005/07/01","00:00","7.034","5.686","4.718","2.949","2.989","1.26","-0.079","-1.673","0"
"2005/08/01","00:00","6.844","5.65","4.806","3.045","3.081","1.355","0.151","-1.257","0"
"2005/09/01","00:00","6.04","5.338","4.744","2.976","3.004","1.263","0.272","-0.906","0"
"2005/10/01","00:00","6.138","5.177","4.652","2.884","2.925","1.198","0.171","-0.748","0"
"2005/11/01","00:00","6.165","5.312","4.544","2.769","2.843","1.142","-0.22","-1.152","0"
"2005/12/01","00:00","7.32","5.666","4.678","2.854","2.912","1.145","-0.417","-1.818","0"
"2006/01/01","00:00","7.028","5.502","4.518","2.677","2.718","0.919","-0.528","-2.008","0"
"2006/02/01","00:00","6.68","5.262","4.534","2.677","2.718","0.902","-0.131","-1.473","0"
"2006/03/01","00:00","6.145","5.167","4.583","2.71","2.735","0.886","0.007","-0.873","0"
"2006/04/01","00:00","6.234","5.338","4.692","2.9","2.949","1.207","0.075","-1.158","0"
"2006/05/01","00:00","6.388","5.367","4.58","2.795","2.864","1.148","-0.236","-1.453","0"
"2006/06/01","00:00","6.447","5.423","4.528","2.776","2.83","1.132","-0.262","-1.329","0"
"2006/07/01","00:00","6.663","5.617","4.734","3.009","3.046","1.358","0.098","-1.463","0"
"2006/08/01","00:00","6.801","5.636","4.787","3.094","3.115","1.444","0.4","-1.056","0"
"2006/09/01","00:00","6.214","5.531","4.934","3.104","3.122","1.309","0.381","-0.945","0"
"2006/10/01","00:00","6.66","5.499","4.911","3.127","3.189","1.467","0.295","-0.361","0"
"2006/11/01","00:00","6.706","5.472","4.76","2.923","2.982","1.204","-0.062","-1.161","0"
"2006/12/01","00:00","6.791","5.623","4.649","2.831","2.874","1.099","-0.344","-1.499","0"
"2007/01/01","00:00","6.575","5.538","4.564","2.749","2.803","1.043","-0.4","-1.483","0"
"2007/02/01","00:00","6.188","5.23","4.475","2.661","2.662","0.85","-0.259","-1.68","0"
"2007/03/01","00:00","5.883","4.806","4.288","2.434","2.459","0.63","-0.24","-1.168","0"
"2007/04/01","00:00","6.26","4.793","4.255","2.441","2.477","0.699","-0.259","-1.608","0"
"2007/05/01","00:00","6.381","5.108","4.298","2.53","2.59","0.883","-0.423","-2.041","0"
"2007/06/01","00:00","6.942","5.364","4.429","2.661","2.713","0.997","-0.41","-1.578","0"
"2007/07/01","00:00","6.65","5.607","4.662","2.877","2.902","1.142","-0.18","-1.404","0"
"2007/08/01","00:00","6.385","5.528","4.82","2.979","2.999","1.178","0.2","-0.912","0"
"2007/09/01","00:00","6.401","5.436","4.826","2.989","3.012","1.198","0.292","-0.489","0"
"2007/10/01","00:00","6.453","5.21","4.613","2.785","2.823","1.033","-0.095","-1.585","0"
"2007/11/01","00:00","6.896","5.328","4.587","2.776","2.84","1.093","-0.285","-1.975","0"
"2007/12/01","00:00","6.594","5.361","4.452","2.651","2.705","0.958","-0.41","-2.198","0"
"2008/01/01","00:00","6.703","5.577","4.629","2.9","2.928","1.227","-0.033","-1.562","0"
"2008/02/01","00:00","6.135","5.318","4.524","2.733","2.758","0.991","-0.082","-1.293","0"
"2008/03/01","00:00","5.322","4.764","4.19","2.382","2.385","0.581","-0.315","-1.086","0"
"2008/04/01","00:00","5.846","4.777","4.242","2.415","2.452","0.663","-0.397","-1.289","0"
"2008/05/01","00:00","6.362","5.161","4.4","2.612","2.664","0.928","-0.295","-1.952","0"
"2008/06/01","00:00","6.772","5.492","4.544","2.749","2.797","1.05","-0.341","-1.969","0"
"2008/07/01","00:00","7.031","5.873","4.882","3.045","3.079","1.276","-0.092","-1.69","0"
"2008/08/01","00:00","6.824","5.768","4.98","3.153","3.169","1.358","0.272","-1.234","0"
"2008/09/01","00:00","5.997","5.489","4.944","3.156","3.176","1.407","0.558","-0.167","0"
"2008/10/01","00:00","6.352","5.243","4.665","2.874","2.912","1.158","0.075","-0.846","0"
"2008/11/01","00:00","6.644","5.39","4.623","2.835","2.897","1.171","-0.203","-1.654","0"
"2008/12/01","00:00","7.188","5.509","4.603","2.812","2.866","1.129","-0.331","-1.85","0"
"2009/01/01","00:00","6.493","5.289","4.396","2.618","2.646","0.896","-0.361","-2.395","0"
"2009/02/01","00:00","6.857","5.397","4.596","2.812","2.833","1.07","0.059","-1.24","0"
"2009/03/01","00:00","5.817","5.033","4.393","2.592","2.621","0.85","-0.105","-0.965","0"
"2009/04/01","00:00","5.774","4.856","4.242","2.425","2.485","0.728","-0.443","-1.467","0"
"2009/05/01","00:00","6.499","5.167","4.423","2.621","2.674","0.925","-0.381","-1.693","0"
"2009/06/01","00:00","7.064","5.653","4.724","2.943","2.977","1.23","-0.056","-1.568","0"
"2009/07/01","00:00","6.877","5.627","4.656","2.897","2.927","1.198","-0.046","-1.657","0"
"2009/08/01","00:00","6.726","5.571","4.754","2.999","3.023","1.293","0.2","-0.945","0"
"2009/09/01","00:00","5.928","5.394","4.79","3.031","3.061","1.332","0.384","-0.548","0"
"2009/10/01","00:00","6.421","5.436","4.898","3.13","3.168","1.437","0.433","-0.194","0"
"2009/11/01","00:00","6.49","5.456","4.656","2.877","2.918","1.181","-0.135","-1.122","0"
"2009/12/01","00:00","6.847","5.965","5.007","3.173","3.235","1.463","-0.026","-1.486","0"
"2010/01/01","00:00","7.028","6.079","5.144","3.281","3.304","1.463","0.144","-1.722","0"
"2010/02/01","00:00","7.051","5.705","4.898","3.136","3.156","1.414","0.413","-0.755","0"
"2010/03/01","00:00","6.102","5.151","4.557","2.726","2.74","0.922","0.079","-0.764","0"
"2010/04/01","00:00","6.211","5.272","4.619","2.831","2.869","1.119","0.043","-1.28","0"
"2010/05/01","00:00","6.148","5.056","4.252","2.454","2.502","0.751","-0.531","-1.44","0"
"2010/06/01","00:00","6.148","5.259","4.38","2.602","2.639","0.899","-0.384","-1.65","0"
"2010/07/01","00:00","6.663","5.44","4.59","2.828","2.858","1.125","-0.003","-1.368","0"
"2010/08/01","00:00","6.499","5.4","4.596","2.877","2.892","1.188","0.308","-1.184","0"
"2010/09/01","00:00","6.129","5.308","4.652","2.881","2.907","1.161","0.262","-0.63","0"
"2010/10/01","00:00","6.148","5.174","4.626","2.828","2.877","1.129","0.062","-0.955","0"
"2010/11/01","00:00","6.673","5.308","4.59","2.749","2.795","1.001","-0.187","-1.184","0"
"2010/12/01","00:00","6.877","5.692","4.747","2.91","2.938","1.129","-0.187","-1.578","0"
"2011/01/01","00:00","6.686","5.492","4.551","2.749","2.766","0.981","-0.285","-1.401","0"
"2011/02/01","00:00","6.329","5.289","4.544","2.749","2.774","1.004","0.059","-0.919","0"
"2011/03/01","00:00","6.483","5.033","4.531","2.7","2.721","0.912","0.092","-0.919","0"
