"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2005/05/01","00:00","2.726","2.313","2.247","1.224","1.248","0.249","0.135","-0.295","0"
"2005/06/01","00:00","2.854","2.32","2.238","1.237","1.265","0.292","0.161","-0.236","0"
"2005/07/01","00:00","2.703","2.156","2.087","1.112","1.138","0.19","0.046","-0.39","0"
"2005/08/01","00:00","3.13","2.277","2.211","1.23","1.257","0.302","0.167","-0.184","0"
"2005/09/01","00:00","4.167","2.858","2.799","1.795","1.821","0.843","0.732","0.338","0"
"2005/10/01","00:00","4.79","2.956","2.851","1.785","1.829","0.807","0.709","0.19","0"
"2005/11/01","00:00","3.156","2.343","2.264","1.257","1.291","0.318","0.197","-0.39","0"
"2005/12/01","00:00","2.369","2.034","1.949","0.942","0.973","-0.003","-0.157","-0.574","0"
"2006/01/01","00:00","2.572","1.932","1.86","0.83","0.869","-0.121","-0.249","-0.673","0"
"2006/02/01","00:00","2.677","1.847","1.788","0.791","0.822","-0.144","-0.289","-0.623","0"
"2006/03/01","00:00","2.828","2.156","2.11","1.053","1.093","0.075","-0.049","-0.417","0"
"2006/04/01","00:00","2.667","2.28","2.221","1.188","1.222","0.223","0.108","-0.377","0"
"2006/05/01","00:00","2.644","2.398","2.316","1.296","1.325","0.335","0.207","-0.295","0"
"2006/06/01","00:00","2.395","1.985","1.896","0.925","0.955","0.013","-0.125","-0.735","0"
"2006/07/01","00:00","2.53","2.067","1.998","1.037","1.066","0.135","0.003","-0.381","0"
"2006/08/01","00:00","2.897","2.231","2.172","1.181","1.211","0.249","0.118","-0.305","0"
"2006/09/01","00:00","2.917","2.49","2.441","1.444","1.47","0.499","0.367","-0.03","0"
"2006/10/01","00:00","3.422","2.822","2.762","1.726","1.755","0.748","0.617","0.098","0"
"2006/11/01","00:00","3.284","2.556","2.49","1.453","1.483","0.476","0.351","-0.2","0"
"2006/12/01","00:00","2.635","2.244","2.175","1.152","1.184","0.194","0.036","-0.581","0"
"2007/01/01","00:00","2.621","2.142","2.067","1.05","1.084","0.102","-0.056","-0.44","0"
"2007/02/01","00:00","2.546","1.985","1.942","0.935","0.965","-0.013","-0.151","-0.515","0"
"2007/03/01","00:00","2.559","2.103","2.044","1.027","1.063","0.082","-0.036","-0.591","0"
"2007/04/01","00:00","2.825","2.195","2.126","1.109","1.135","0.144","0.016","-0.453","0"
"2007/05/01","00:00","3.268","2.713","2.648","1.627","1.65","0.653","0.495","-0.112","0"
"2007/06/01","00:00","3.189","2.467","2.388","1.378","1.404","0.42","0.256","0.079","0"
"2007/07/01","00:00","2.628","2.336","2.287","1.28","1.306","0.325","0.203","-0.233","0"
"2007/08/01","00:00","2.733","2.352","2.313","1.286","1.311","0.308","0.18","-0.154","0"
"2007/09/01","00:00","3.248","2.746","2.7","1.647","1.673","0.646","0.515","-0.059","0"
"2007/10/01","00:00","3.596","2.953","2.887","1.844","1.868","0.85","0.741","-0.253","0"
"2007/11/01","00:00","3.474","2.638","2.572","1.542","1.576","0.581","0.453","-0.531","0"
"2007/12/01","00:00","2.874","2.149","2.064","1.06","1.081","0.098","-0.043","-0.315","0"
"2008/01/01","00:00","2.802","2.208","2.129","1.135","1.166","0.203","0.072","-0.367","0"
"2008/02/01","00:00","2.572","1.772","1.696","0.719","0.75","-0.197","-0.318","-0.663","0"
"2008/03/01","00:00","2.293","1.801","1.742","0.784","0.815","-0.112","-0.243","-0.82","0"
"2008/04/01","00:00","2.828","2.448","2.372","1.329","1.358","0.344","0.22","-0.449","0"
"2008/05/01","00:00","2.939","2.3","2.221","1.165","1.196","0.171","0.039","-0.496","0"
"2008/06/01","00:00","2.316","2.08","2.005","1.001","1.025","0.046","-0.118","-0.699","0"
"2008/07/01","00:00","2.835","2.431","2.379","1.352","1.373","0.367","0.236","-0.302","0"
"2008/08/01","00:00","3.442","2.48","2.418","1.401","1.422","0.427","0.302","-0.03","0"
"2008/09/01","00:00","3.911","3.179","3.133","2.09","2.115","1.096","0.991","0.443","0"
"2008/10/01","00:00","3.386","2.959","2.913","1.873","1.905","0.896","0.778","0.387","0"
"2008/11/01","00:00","3.307","2.644","2.579","1.555","1.581","0.584","0.43","-0.344","0"
"2008/12/01","00:00","2.467","1.959","1.877","0.896","0.924","-0.03","-0.164","-0.686","0"
"2009/01/01","00:00","2.106","1.696","1.634","0.64","0.673","-0.289","-0.443","-0.889","0"
"2009/02/01","00:00","2.192","1.765","1.709","0.705","0.748","-0.213","-0.348","-0.741","0"
"2009/03/01","00:00","2.651","2.136","2.093","1.06","1.091","0.089","-0.056","-0.433","0"
