"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2005/05/01","00:00","2.113","1.532","1.483","0.906","0.906","0.328","0.03","-1.306","0"
"2005/06/01","00:00","2.218","1.729","1.657","1.158","1.042","0.427","0.259","-0.535","0"
"2005/07/01","00:00","2.703","1.581","1.503","0.965","0.899","0.295","0.02","-0.81","0"
"2005/08/01","00:00","2.664","1.421","1.368","0.84","0.822","0.276","-0.095","-0.725","0"
"2005/09/01","00:00","3.809","2.047","1.978","1.46","1.399","0.82","0.541","-1.512","0"
"2005/10/01","00:00","3.048","1.824","1.726","1.27","1.242","0.758","0.535","-0.338","0"
"2005/11/01","00:00","2.333","1.22","1.191","0.584","0.568","-0.056","-0.407","-1.67","0"
"2005/12/01","00:00","2.264","1.119","1.066","0.377","0.34","-0.387","-0.696","-2.293","0"
"2006/01/01","00:00","1.47","0.676","0.63","0.023","0.013","-0.604","-1.017","-2.421","0"
"2006/02/01","00:00","1.788","0.961","0.912","0.312","0.354","-0.203","-0.561","-2.5","0"
"2006/03/01","00:00","2.031","1.385","1.257","0.758","0.753","0.249","-0.105","-1.627","0"
"2006/04/01","00:00","2.484","1.342","1.263","0.699","0.684","0.105","-0.23","-0.827","0"
"2006/05/01","00:00","2.126","1.342","1.27","0.686","0.705","0.141","-0.24","-1.119","0"
"2006/06/01","00:00","1.837","1.27","1.243","0.663","0.63","0.016","-0.262","-1.001","0"
"2006/07/01","00:00","1.69","1.247","1.178","0.663","0.686","0.194","-0.207","-0.883","0"
"2006/08/01","00:00","1.837","1.296","1.237","0.725","0.681","0.125","-0.177","-0.597","0"
"2006/09/01","00:00","1.949","1.627","1.562","1.043","1.052","0.541","0.177","-0.722","0"
"2006/10/01","00:00","4.134","1.923","1.873","1.306","1.344","0.814","0.42","-0.961","0"
"2006/11/01","00:00","2.628","1.385","1.276","0.784","0.738","0.2","-0.197","-2.09","0"
"2006/12/01","00:00","2.021","1.224","1.063","0.486","0.415","-0.233","-0.568","-2.47","0"
"2007/01/01","00:00","2.444","1.325","1.198","0.669","0.658","0.118","-0.381","-1.565","0"
"2007/02/01","00:00","2.087","1.076","0.951","0.427","0.443","-0.066","-0.466","-1.913","0"
"2007/03/01","00:00","1.991","1.296","1.23","0.755","0.751","0.272","-0.102","-0.761","0"
"2007/04/01","00:00","2.215","1.617","1.499","1.047","1.01","0.522","0.203","-1.43","0"
