"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2005/04/01","00:00","0.81","0.41","0.289","0.079","0.061","-0.167","-0.24","-0.741","0"
"2005/05/01","00:00","0.709","0.308","0.197","-0.013","-0.018","-0.233","-0.312","-0.702","0"
"2005/06/01","00:00","1.102","0.702","0.6","0.387","0.392","0.184","0.098","-0.407","0"
"2005/07/01","00:00","2.608","1.266","1.155","0.889","0.892","0.63","0.541","-0.299","0"
"2005/08/01","00:00","2.406","1.407","1.325","1.017","1.05","0.774","0.64","-0.115","0"
"2005/09/01","00:00","2.595","0.912","0.817","0.505","0.533","0.249","0.148","-1.194","0"
"2005/10/01","00:00","1.919","0.856","0.725","0.443","0.463","0.2","0.066","-1.247","0"
"2005/11/01","00:00","1.332","0.364","0.23","-0.01","-0.011","-0.253","-0.331","-1.234","0"
"2005/12/01","00:00","1.122","0.486","0.348","0.131","0.107","-0.135","-0.2","-1.211","0"
"2006/01/01","00:00","1.427","0.997","0.889","0.643","0.636","0.384","0.325","-0.226","0"
"2006/02/01","00:00","2.444","1.138","0.997","0.781","0.733","0.469","0.374","-0.19","0"
"2006/03/01","00:00","0.755","0.141","0.052","-0.207","-0.223","-0.499","-0.545","-0.997","0"
"2006/04/01","00:00","0.846","0.404","0.322","0.069","0.077","-0.167","-0.233","-0.761","0"
"2006/05/01","00:00","1.217","0.577","0.44","0.236","0.226","0.013","-0.062","-0.653","0"
"2006/06/01","00:00","1.545","1.106","1.004","0.801","0.799","0.594","0.522","0.125","0"
"2006/07/01","00:00","2.172","1.316","1.227","0.981","0.971","0.715","0.653","-0.456","0"
"2006/08/01","00:00","2.346","1.22","1.129","0.86","0.835","0.541","0.459","-0.174","0"
"2006/09/01","00:00","1.936","1.211","1.043","0.794","0.761","0.479","0.4","-0.541","0"
"2006/10/01","00:00","2.208","0.725","0.509","0.322","0.187","-0.135","-0.292","-3.041","0"
"2006/11/01","00:00","2.316","0.436","0.174","-0.079","-0.097","-0.367","-0.466","-1.667","0"
"2006/12/01","00:00","2.546","1.056","0.928","0.676","0.686","0.443","0.328","-0.492","0"
"2007/01/01","00:00","0.866","0.489","0.4","0.161","0.171","-0.059","-0.151","-0.771","0"
"2007/02/01","00:00","1.083","0.43","0.276","0.03","0.013","-0.249","-0.305","-1.306","0"
"2007/03/01","00:00","1.198","0.036","-0.075","-0.259","-0.33","-0.584","-0.656","-1.716","0"
"2007/04/01","00:00","0.646","0.24","0.144","-0.089","-0.09","-0.325","-0.404","-0.948","0"
"2007/05/01","00:00","1.109","0.453","0.322","0.105","0.098","-0.125","-0.213","-1.129","0"
"2007/06/01","00:00","1.076","0.682","0.574","0.358","0.351","0.128","0.026","-0.482","0"
"2007/07/01","00:00","1.191","0.82","0.741","0.492","0.497","0.253","0.135","-0.24","0"
"2007/08/01","00:00","1.87","0.951","0.873","0.591","0.586","0.299","0.213","-0.702","0"
"2007/09/01","00:00","1.936","0.712","0.571","0.272","0.267","-0.036","-0.226","-1.437","0"
"2007/10/01","00:00","0.722","0.167","0.095","-0.144","-0.146","-0.387","-0.492","-1.532","0"
"2007/11/01","00:00","0.889","-0.246","-0.377","-0.636","-0.638","-0.899","-0.994","-2.441","0"
"2007/12/01","00:00","1.099","0.108","0.059","-0.262","-0.187","-0.433","-0.614","-2.753","0"
"2008/01/01","00:00","1.66","0.322","0.21","-0.039","-0.052","-0.315","-0.397","-0.797","0"
"2008/02/01","00:00","0.771","0.331","0.243","-0.026","-0.033","-0.308","-0.381","-1.109","0"
"2008/03/01","00:00","0.476","0.066","0","-0.233","-0.241","-0.482","-0.558","-1.102","0"
"2008/04/01","00:00","1.171","0.472","0.344","0.115","0.107","-0.131","-0.236","-0.758","0"
"2008/05/01","00:00","0.912","0.331","0.19","-0.046","-0.052","-0.295","-0.374","-1.772","0"
"2008/06/01","00:00","1.831","1.161","1.056","0.797","0.805","0.554","0.446","-0.246","0"
